0.73
"class4","p"
"Ia","0.727504450479219"
"nonevent","0.080463843559317"
"Ib","0.990897111743513"
"II","0.991238939899939"
"nonevent","0.120253990842419"
"II","0.978951849227886"
"nonevent","0.000677548460571997"
"nonevent","0.00245307701477748"
"II","0.926588565138545"
"II","0.539002979107427"
"nonevent","0.00085019262958641"
"nonevent","0.497539389391826"
"Ia","0.790420964630693"
"Ia","0.61599978258037"
"Ib","0.9980274606635"
"nonevent","0.000207389028201388"
"II","0.959812350681576"
"nonevent","0.214451613200806"
"Ib","0.996815863468831"
"nonevent","2.74419043028162e-05"
"nonevent","0.00142171798928825"
"nonevent","0.0564402801732559"
"Ib","0.866163820318693"
"nonevent","0.3663519223148"
"nonevent","0.0625623428658851"
"II","0.963406942880527"
"II","0.664868825345001"
"nonevent","0.2903061992578"
"nonevent","0.482719625116997"
"nonevent","0.000132334198708062"
"nonevent","0.000265172243612444"
"Ib","0.998228476079657"
"nonevent","0.366014896802146"
"nonevent","0.287775399027165"
"II","0.986576829572723"
"nonevent","0.111563689646126"
"II","0.981373488773714"
"II","0.510345798026847"
"Ia","0.8812487606169"
"nonevent","0.00536138568345168"
"nonevent","0.00754228620403419"
"Ia","0.896732607932177"
"nonevent","0.376026223479592"
"nonevent","0.0900347229125986"
"Ib","0.978641843570868"
"nonevent","3.41038168651941e-05"
"II","0.848795069807507"
"nonevent","0.013710228055947"
"II","0.920819347771032"
"II","0.987877553052831"
"Ia","0.983479876174611"
"nonevent","0.178961749649827"
"Ia","0.512047852981562"
"Ib","0.923508689011918"
"nonevent","0.0140561235753831"
"nonevent","0.213146264744254"
"II","0.938763592225431"
"nonevent","0.00658415820860803"
"Ib","0.997188126515925"
"nonevent","0.0121706397562514"
"nonevent","0.00418579059842805"
"nonevent","0.25234518246202"
"nonevent","0.32743710548626"
"II","0.825270851235452"
"II","0.951693004648273"
"nonevent","0.000199904914789162"
"II","0.541124557660546"
"II","0.914420714217434"
"Ib","0.96576772274612"
"Ib","0.993310549364753"
"II","0.978755244881392"
"Ib","0.992587841288528"
"nonevent","0.0343873858110487"
"nonevent","0.135697836280911"
"nonevent","0.084387763204115"
"nonevent","0.250487471353203"
"nonevent","0.210408155612005"
"II","0.965575538784928"
"nonevent","0.0370511276527236"
"nonevent","0.0142923068458163"
"Ib","0.998482577284508"
"Ib","0.667858334525872"
"nonevent","0.420697253159548"
"nonevent","0.00392757389860054"
"Ib","0.993649975586072"
"II","0.725119858497814"
"nonevent","3.24854205917546e-05"
"nonevent","0.0023486396458009"
"nonevent","0.0848821513305241"
"Ia","0.829813217485191"
"II","0.627517168790987"
"nonevent","0.000155704219103714"
"nonevent","0.0108045786473406"
"Ib","0.981534729377024"
"II","0.991205318464797"
"nonevent","0.0841724760762104"
"nonevent","3.92898003781506e-05"
"II","0.958240581000531"
"Ia","0.752863246134672"
"Ib","0.989814175979864"
"nonevent","0.218781185214226"
"II","0.617671891465186"
"Ib","0.998105700592549"
"II","0.515508685885157"
"II","0.952273143191654"
"nonevent","0.0124336041695229"
"II","0.991497221274928"
"nonevent","0.000297784181683136"
"II","0.929349956783946"
"II","0.923611475784675"
"nonevent","0.0103985774018052"
"nonevent","7.56575585203478e-06"
"Ia","0.706186395339087"
"nonevent","0.0364068134843919"
"Ia","0.843079501316463"
"Ib","0.953563953463663"
"nonevent","0.0212116263961784"
"Ib","0.989517229952718"
"Ib","0.970631882921513"
"nonevent","0.286318396938337"
"nonevent","0.011912979467319"
"Ib","0.98283069238931"
"nonevent","1.00148718029658e-06"
"II","0.965741538003022"
"II","0.956820760838474"
"nonevent","0.291903360658534"
"Ib","0.995042142145905"
"II","0.889157738303674"
"nonevent","0.0123383930760809"
"II","0.727992737954458"
"nonevent","0.0554721682018999"
"nonevent","0.13705394453626"
"nonevent","0.116532533187609"
"II","0.580034846811813"
"Ib","0.996436140026748"
"Ib","0.998668676538165"
"nonevent","3.68537830652826e-05"
"II","0.960729843178348"
"nonevent","0.120133197394612"
"Ib","0.971559019554688"
"nonevent","0.0869708317105221"
"II","0.972023067553952"
"II","0.51145885962237"
"Ib","0.75637636392769"
"nonevent","0.10967195849285"
"nonevent","3.05503815124508e-05"
"nonevent","0.0365002743333435"
"nonevent","0.000789759684228342"
"Ib","0.998083111208683"
"Ib","0.996901141689383"
"II","0.990093298989922"
"nonevent","0.0279606074223702"
"II","0.941309119787674"
"Ia","0.800782309992417"
"Ib","0.880272997643589"
"II","0.968714437154769"
"nonevent","0.000176261544426626"
"Ib","0.997474970653737"
"Ib","0.996498545947165"
"Ib","0.994526262208315"
"nonevent","0.00685393874427298"
"nonevent","0.00195453537057155"
"II","0.727527622978422"
"nonevent","0.000476537343952921"
"nonevent","0.0010045108720903"
"Ib","0.994809131381232"
"II","0.959159816508624"
"nonevent","0.417221368883971"
"nonevent","0.0278316768101999"
"II","0.721271282572103"
"nonevent","2.03387606653171e-05"
"nonevent","0.00478898864051069"
"nonevent","0.0242041948892627"
"Ib","0.990179053811473"
"nonevent","0.11151849724308"
"nonevent","1.55146235850667e-05"
"II","0.997174718086161"
"II","0.994097058733208"
"II","0.974728082844482"
"II","0.970445360468993"
"Ib","0.930356361677042"
"Ia","0.808584809530443"
"Ia","0.51835470399633"
"II","0.733401449714314"
"nonevent","0.189675590129138"
"Ib","0.944647241694104"
"II","0.921691221731861"
"nonevent","4.7432376683143e-05"
"II","0.969897499603699"
"nonevent","1.20050363832114e-05"
"nonevent","0.17513981095354"
"nonevent","0.324131801067529"
"II","0.86649048999487"
"II","0.992992807007938"
"nonevent","0.117899050118616"
"Ia","0.738347877771957"
"II","0.987780682064188"
"Ia","0.698553797749983"
"nonevent","0.209765106087859"
"nonevent","0.00204413211082854"
"Ia","0.928375457300953"
"Ib","0.992578008944433"
"nonevent","0.000285779831314281"
"nonevent","0.424560997257161"
"nonevent","0.446599929555374"
"II","0.995805029093019"
"Ib","0.988798717861964"
"II","0.667979269015529"
"nonevent","0.214157891160288"
"II","0.995423772264061"
"Ib","0.754077685335202"
"nonevent","0.0422027433892694"
"Ib","0.978517847918935"
"nonevent","7.71088305215883e-05"
"II","0.9275625775803"
"Ib","0.957743055920565"
"II","0.991349076705213"
"nonevent","0.0235623121559987"
"Ia","0.969848315478906"
"Ib","0.985754402361365"
"II","0.63105668528493"
"II","0.970337879366704"
"nonevent","0.000248277695738763"
"Ib","0.996103551366273"
"Ia","0.688851940674066"
"II","0.831118460456988"
"nonevent","0.0905992057817765"
"II","0.842321906032376"
"II","0.512260593394736"
"nonevent","0.0045691208134353"
"nonevent","0.140403276711802"
"II","0.675265902824324"
"nonevent","0.273517496628625"
"nonevent","0.31870077104335"
"II","0.794683360533516"
"Ia","0.519067448212644"
"nonevent","0.0281142156588434"
"II","0.995965505592781"
"II","0.992827247157386"
"II","0.992787801346406"
"Ib","0.990383772456205"
"II","0.826035881163255"
"nonevent","0.313835071819774"
"nonevent","0.000681441851844489"
"Ib","0.994667568254788"
"II","0.995512586121489"
"nonevent","0.00103054436062255"
"nonevent","0.000380425610244206"
"nonevent","0.000209900699254417"
"Ib","0.988326900815761"
"nonevent","0.385944246274753"
"Ia","0.628572430844227"
"Ib","0.877494410242692"
"II","0.835160409114205"
"Ib","0.964992892819241"
"II","0.589405808870977"
"II","0.717494202765649"
"nonevent","0.084956847339463"
"nonevent","3.78077743556915e-08"
"nonevent","0.00200928299354219"
"Ia","0.88934367474928"
"nonevent","0.0114908155929127"
"II","0.829920058204856"
"nonevent","0.406666955811644"
"II","0.982992077271528"
"nonevent","0.121737842195791"
"Ia","0.556498375857148"
"II","0.965999677053564"
"Ia","0.652416228952481"
"Ia","0.650938345438919"
"nonevent","0.00360113341302315"
"nonevent","0.000161707763536967"
"nonevent","0.0605741861425496"
"II","0.948679188649648"
"nonevent","0.124247090761715"
"II","0.969295468105812"
"II","0.504147898548624"
"nonevent","0.00126076827241683"
"Ib","0.971778268048096"
"Ib","0.92088411637726"
"II","0.881422491869941"
"II","0.995971245960194"
"nonevent","0.012290779722855"
"II","0.883534528260892"
"nonevent","0.0899685133308111"
"II","0.521903586119734"
"nonevent","0.476977396839786"
"Ib","0.997219547029548"
"II","0.701293312614018"
"Ib","0.877675664523911"
"Ib","0.994803275021059"
"nonevent","0.407664131068732"
"II","0.987355564215461"
"nonevent","0.0687298417757432"
"nonevent","0.151293198253308"
"nonevent","0.00134315212178704"
"nonevent","0.436483914383905"
"Ia","0.893197594304181"
"nonevent","0.00185245129505063"
"nonevent","0.000121495581924536"
